tid	exp	model	lang	method	wrap	frozen	epochs	date	all_preds	bert_score	bleu_score	input_text	langs	pred_text1	prefix	prompt	qid	rouge_score	target_text	top	top_pred	enfat5-large_pred_text1_bart_score
10	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	happy <br /> to be accepted <br /> to be helpful	0.55	0.0	PersonX accepts PersonY offer ## ## ## ## ## ##	en2en	happy	oReact	PersonX accepts PersonY offer  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	10	0.0	giving	giving	to be accepted	-7.16488
10	custom	enfat5-large	mix-mix	unsup-gen	unwrapped-lstm	unfreezed	tr:1-ep:1-(0-45001)-361	2021-12-10-09:27	سپاسگزارم. <br /> خوشحال <br /> رضایت خاطر	0.59	0.0	## شخص ایکس پیشنهاد شخص دیگری را قبول می کند. ## ##	fa2fa	سپاسگزارم	oReact	<oReact>  شخص ایکس پیشنهاد شخص دیگری را قبول می کند. <gen_fa>  <extra_id_0>	10	0.0	بخشیدن	بخشیدن	رضایت خاطر	-3.65725
10	custom	enfat5-large	mix-mix	unsup-wrap-lang	wrapped-lstm	freezed	tr:1-ep:1-(0-45001)-361	2021-12-10-14:21	سپاسگزارم. <br /> خوشحال از اینکه شخص ایکس پیشنهاد دیگری را می پذیرد. <br /> خوشحال از اینکه شخص ایکس پیشنهاد دیگری را بپذیرد.	0.43	0.0	## ## ## ## ## شخص ایکس پیشنهاد شخص دیگری را قبول می کند. ## ## ## ## ## ##	fa2fa	سپاسگزارم	oReact	<oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  شخص ایکس پیشنهاد شخص دیگری را قبول می کند. <oReact_fa_0>  <oReact_fa_1>  <oReact_fa_2>  <oReact_fa_3>  <oReact_fa_4>  <extra_id_0>	10	0.0	بخشیدن	بخشیدن	سپاسگزارم.	-3.65725
10	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets excited <br /> gets thanked by PersonY	0.6	0.0	PersonX accepts PersonY offer ## ## ## ## ## ##	en2en	gets thanked	oReact	PersonX accepts PersonY offer  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	10	0.0	giving	giving	gets thanked	-6.99633
10	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to accept the offer. <br /> to accept the offer	0.55	0.0	## PersonX accepts PersonY offer ##	en2en	to be helpful	oReact	<oReact>  PersonX accepts PersonY offer <extra_id_0>	10	0.0	giving	giving	to accept the offer	-6.28555
100	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	happy <br /> to be helpful <br /> to make PersonY's work.	0.72	0.0	PersonX amends PersonY act ## ## ## ## ## ##	en2en	happy	oReact	PersonX amends PersonY act  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	100	0.0	grateful	grateful	happy	-7.50946
100	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets thanked by PersonX <br /> PersonX is thanked by personY.	0.82	0.0	PersonX amends PersonY act ## ## ## ## ## ##	en2en	gets thanked	oReact	PersonX amends PersonY act  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	100	0.0	grateful	grateful	gets thanked	-7.05695
100	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to apologize for PersonY <br /> to be helpful <br /> to apologize for PersonX	0.5	0.0	## PersonX amends PersonY act ##	en2en	to apologize for PersonY	oReact	<oReact>  PersonX amends PersonY act <extra_id_0>	100	0.0	grateful	grateful	to be helpful	-6.36648
101	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to help PersonY <br /> to help person Y <br /> to make PersonY's work.	0.26	0.0372214575392242	PersonX amends PersonY act ## ## ## ## ## ##	en2en	to help PersonY	oWant	PersonX amends PersonY act  <oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  <extra_id_0>	101	0.2499999953125001	to talk about the amendment	to talk about the amendment	to help PersonY	-6.92032
101	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets thanked by PersonX <br /> is thanked by PersonX	0.14	0.0	PersonX amends PersonY act ## ## ## ## ## ##	en2en	gets thanked	oWant	PersonX amends PersonY act  <oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  <extra_id_0>	101	0.0	to talk about the amendment	to talk about the amendment	gets thanked	-7.84435
101	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to apologize for PersonY <br /> to be helpful <br /> to apologize for PersonX	0.32	0.0475327197723342	## PersonX amends PersonY act ##	en2en	to apologize for PersonY	oWant	<oWant>  PersonX amends PersonY act <extra_id_0>	101	0.2222222172839507	to talk about the amendment	to talk about the amendment	to be helpful	-6.23365
102	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to make PersonY's work. <br /> to make PersonY's work <br /> to make PersonY's act.	0.37	0.0	PersonX amends PersonY act ## ## ## ## ##	en2en	to make PersonY's work	xAttr	PersonX amends PersonY act  <xAttr_0>  <xAttr_1>  <xAttr_2>  <xAttr_3>  <extra_id_0>	102	0.0	Smart	Smart	to make PersonY's work	-4.70684
102	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets thanked by PersonX <br /> PersonX gets thanked	0.3	0.0	PersonX amends PersonY act ## ## ## ## ##	en2en	gets thanked	xAttr	PersonX amends PersonY act  <xAttr_0>  <xAttr_1>  <xAttr_2>  <xAttr_3>  <extra_id_0>	102	0.0	Smart	Smart	gets thanked	-7.28844
102	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to apologize for PersonY <br /> to thank PersonX for helping them. <br /> to apologize for PersonX	0.23	0.0	## PersonX amends PersonY act ##	en2en	to apologize for PersonY	xAttr	<xAttr>  PersonX amends PersonY act <extra_id_0>	102	0.0	Smart	Smart	to thank PersonX for helping them.	-5.51166
103	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to help PersonY <br /> to help person Y <br /> to help persony	0.24	0.0	PersonX amends PersonY act ## ## ## ## ## ## ## ## ##	en2en	to help PersonY	xEffect	PersonX amends PersonY act  <xEffect_0>  <xEffect_1>  <xEffect_2>  <xEffect_3>  <xEffect_4>  <xEffect_5>  <xEffect_6>  <xEffect_7>  <extra_id_0>	103	0.0	Gets hired	Gets hired	to help person Y	-4.76329
103	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets thanked by PersonX <br /> PersonX gets thanked	0.28	0.0	PersonX amends PersonY act ## ## ## ## ## ## ## ## ##	en2en	gets thanked	xEffect	PersonX amends PersonY act  <xEffect_0>  <xEffect_1>  <xEffect_2>  <xEffect_3>  <xEffect_4>  <xEffect_5>  <xEffect_6>  <xEffect_7>  <extra_id_0>	103	0.0	Gets hired	Gets hired	gets thanked	-6.10099
103	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to apologize for PersonY <br /> to apologize for PersonX <br /> to apologize	0.1	0.0	## PersonX amends PersonY act ##	en2en	to apologize for PersonY	xEffect	<xEffect>  PersonX amends PersonY act <extra_id_0>	103	0.0	Gets hired	Gets hired	to apologize	-4.88794
104	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to help PersonY <br /> to help person Y <br /> to help persony	0.38	0.0519467286215556	PersonX amends PersonY act ## ## ## ## ## ##	en2en	to help PersonY	xIntent	PersonX amends PersonY act  <xIntent_0>  <xIntent_1>  <xIntent_2>  <xIntent_3>  <xIntent_4>  <extra_id_0>	104	0.2857142808163266	to fix the act	to fix the act	to help PersonY	-4.44267
104	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets thanked by PersonX <br /> PersonX gets thanked	0.15	0.0	PersonX amends PersonY act ## ## ## ## ## ##	en2en	gets thanked	xIntent	PersonX amends PersonY act  <xIntent_0>  <xIntent_1>  <xIntent_2>  <xIntent_3>  <xIntent_4>  <extra_id_0>	104	0.0	to fix the act	to fix the act	gets thanked	-6.50964
104	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to thank PersonY <br /> to thank PersonX for helping them. <br /> to apologize	0.27	0.0519467286215556	## PersonX amends PersonY act ##	en2en	to thank PersonY	xIntent	<xIntent>  PersonX amends PersonY act <extra_id_0>	104	0.2857142808163266	to fix the act	to fix the act	to apologize	-4.76684
105	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to help PersonY <br /> to help person Y <br /> to be helpful	0.39	0.0519467286215556	PersonX amends PersonY act ## ## ## ## ## ##	en2en	to help PersonY	xNeed	PersonX amends PersonY act  <xNeed_0>  <xNeed_1>  <xNeed_2>  <xNeed_3>  <xNeed_4>  <extra_id_0>	105	0.2857142808163266	to get a pen	to get a pen	to be helpful	-4.67533
105	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets thanked by PersonX <br /> is thanked by PersonX	0.26	0.0	PersonX amends PersonY act ## ## ## ## ## ##	en2en	gets thanked	xNeed	PersonX amends PersonY act  <xNeed_0>  <xNeed_1>  <xNeed_2>  <xNeed_3>  <xNeed_4>  <extra_id_0>	105	0.0	to get a pen	to get a pen	gets thanked	-6.08680
105	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to apologize for PersonY <br /> to apologize for PersonX <br /> to apologize PersonY	0.11	0.0610332203119731	## PersonX amends PersonY act ##	en2en	to apologize for PersonY	xNeed	<xNeed>  PersonX amends PersonY act <extra_id_0>	105	0.2499999950000001	to get a pen	to get a pen	to apologize PersonY	-4.13285
106	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to help PersonY <br /> to help person Y <br /> to help persony	0.42	0.0	PersonX amends PersonY act ## ## ## ## ## ##	en2en	to help PersonY	xReact	PersonX amends PersonY act  <xReact_0>  <xReact_1>  <xReact_2>  <xReact_3>  <xReact_4>  <extra_id_0>	106	0.0	responsible	responsible	to help person Y	-4.86118
106	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets thanked by PersonX <br /> PersonX is thanked by personY.	0.29	0.0	PersonX amends PersonY act ## ## ## ## ## ##	en2en	gets thanked	xReact	PersonX amends PersonY act  <xReact_0>  <xReact_1>  <xReact_2>  <xReact_3>  <xReact_4>  <extra_id_0>	106	0.0	responsible	responsible	gets thanked	-5.84595
106	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to apologize for PersonY <br /> to be helpful <br /> to apologize for PersonX	0.44	0.0	## PersonX amends PersonY act ##	en2en	to apologize for PersonY	xReact	<xReact>  PersonX amends PersonY act <extra_id_0>	106	0.0	responsible	responsible	to be helpful	-4.87358
107	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to help PersonY <br /> to help person Y <br /> to help persony	0.23	0.0519467286215556	PersonX amends PersonY act ## ## ## ## ## ##	en2en	to help PersonY	xWant	PersonX amends PersonY act  <xWant_0>  <xWant_1>  <xWant_2>  <xWant_3>  <xWant_4>  <extra_id_0>	107	0.2857142808163266	to mail a copy	to mail a copy	to help PersonY	-4.56224
107	custom	enfat5-large	mix-mix	unsup-gen	unwrapped-lstm	unfreezed	tr:1-ep:1-(0-45001)-361	2021-12-10-09:27	to thank PersonY <br /> to be thanked <br /> to thank personY	0.3	0.0519467286215556	## PersonX amends PersonY act ## ##	en2en	to thank PersonY	xWant	<xWant>  PersonX amends PersonY act <gen_en>  <extra_id_0>	107	0.2857142808163266	to mail a copy	to mail a copy	to thank PersonY	-4.99118
107	custom	enfat5-large	mix-mix	unsup-wrap-lang	wrapped-lstm	freezed	tr:1-ep:1-(0-45001)-361	2021-12-10-14:21	to apologize for PersonY <br /> to make PersonY feel better <br /> to apologize for PersonY.	0.19	0.0610332203119731	## ## ## ## ## PersonX amends PersonY act ## ## ## ## ## ##	en2en	to apologize for PersonY	xWant	<xWant_0>  <xWant_1>  <xWant_2>  <xWant_3>  <xWant_4>  PersonX amends PersonY act <xWant_en_0>  <xWant_en_1>  <xWant_en_2>  <xWant_en_3>  <xWant_en_4>  <extra_id_0>	107	0.2499999950000001	to mail a copy	to mail a copy	to apologize for PersonY	-4.32326
107	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets thanked by PersonX <br /> is thanked by PersonX	0.26	0.0	PersonX amends PersonY act ## ## ## ## ## ##	en2en	gets thanked	xWant	PersonX amends PersonY act  <xWant_0>  <xWant_1>  <xWant_2>  <xWant_3>  <xWant_4>  <extra_id_0>	107	0.0	to mail a copy	to mail a copy	is thanked by PersonX	-7.03783
107	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to apologize for PersonY <br /> to apologize for PersonX <br /> to be helpful	0.22	0.0610332203119731	## PersonX amends PersonY act ##	en2en	to apologize for PersonY	xWant	<xWant>  PersonX amends PersonY act <extra_id_0>	107	0.2499999950000001	to mail a copy	to mail a copy	to be helpful	-4.32326
108	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to go home <br /> to go home. <br /> gets they are doing.	0.33	0.0	PersonX answers PersonY question ## ## ## ## ## ## ## ## ##	en2en	to go home	oEffect	PersonX answers PersonY question  <oEffect_0>  <oEffect_1>  <oEffect_2>  <oEffect_3>  <oEffect_4>  <oEffect_5>  <oEffect_6>  <oEffect_7>  <extra_id_0>	108	0.0	hear's the answer	hear's the answer	gets they are doing.	-6.30696
108	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets excited <br /> PersonX is thanked by personY	0.28	0.0	PersonX answers PersonY question ## ## ## ## ## ## ## ## ##	en2en	gets thanked	oEffect	PersonX answers PersonY question  <oEffect_0>  <oEffect_1>  <oEffect_2>  <oEffect_3>  <oEffect_4>  <oEffect_5>  <oEffect_6>  <oEffect_7>  <extra_id_0>	108	0.0	hear's the answer	hear's the answer	gets excited	-6.74507
108	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to help PersonY <br /> to help persony	0.24	0.0	## PersonX answers PersonY question ##	en2en	to be helpful	oEffect	<oEffect>  PersonX answers PersonY question <extra_id_0>	108	0.0	hear's the answer	hear's the answer	to be helpful	-6.12843
109	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	helpful <br /> happy <br /> gets thanked	0.56	0.0	PersonX answers PersonY question ## ## ## ## ## ##	en2en	helpful	oReact	PersonX answers PersonY question  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	109	0.0	happy that x was willing to help	happy that x was willing to help	happy	-7.75852
109	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets excited <br /> PersonX is thanked by personY	0.47	0.0	PersonX answers PersonY question ## ## ## ## ## ##	en2en	gets thanked	oReact	PersonX answers PersonY question  <oReact_0>  <oReact_1>  <oReact_2>  <oReact_3>  <oReact_4>  <extra_id_0>	109	0.0	happy that x was willing to help	happy that x was willing to help	PersonX is thanked by personY	-7.16141
109	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /><br /> to help PersonY	0.44	0.0191101334959824	## PersonX answers PersonY question ##	en2en	to be helpful	oReact	<oReact>  PersonX answers PersonY question <extra_id_0>	109	0.19999999579999997	happy that x was willing to help	happy that x was willing to help	to be helpful	-6.59432
11	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to be accepted <br /> to be helpful <br /> to be accepted.	0.29	0.0372214575392242	PersonX accepts PersonY offer ## ## ## ## ## ##	en2en	to be accepted	oWant	PersonX accepts PersonY offer  <oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  <extra_id_0>	11	0.2499999953125001	they want to congratulate PersonX	they want to congratulate PersonX	to be helpful	-6.22332
11	custom	enfat5-large	mix-mix	unsup-gen	unwrapped-lstm	unfreezed	tr:1-ep:1-(0-45001)-361	2021-12-10-09:27	تا از شخص ایکس بپرسد آیا این پیشنهاد را پذیرفته است یا نه. <br /> برای تشکر از ایکس <br /> برای تشکر از شخص ایکس	0.7	0.0442496741063549	## شخص ایکس پیشنهاد شخص دیگری را قبول می کند. ## ##	fa2fa	تا از شخص ایکس بپرسد آیا این پیشنهاد را پذیرفته است یا نه	oWant	<oWant>  شخص ایکس پیشنهاد شخص دیگری را قبول می کند. <gen_fa>  <extra_id_0>	11	0.1818181769834712	آن ها می خواهند به شخص ایکس تبریک بگویند	آن ها می خواهند به شخص ایکس تبریک بگویند	برای تشکر از شخص ایکس	-2.38142
11	custom	enfat5-large	mix-mix	unsup-wrap-lang	wrapped-lstm	freezed	tr:1-ep:1-(0-45001)-361	2021-12-10-14:21	شخص ایکس پیشنهاد دیگری را بپذیرد. <br /> تا با شخص ایکس صحبت کند. <br /> تا از شخص ایکس بپرسد چه می خواهد.	0.64	0.0589409305346402	## ## ## ## ## شخص ایکس پیشنهاد شخص دیگری را قبول می کند. ## ## ## ## ## ##	fa2fa	شخص ایکس پیشنهاد دیگری را بپذیرد	oWant	<oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  شخص ایکس پیشنهاد شخص دیگری را قبول می کند. <oWant_fa_0>  <oWant_fa_1>  <oWant_fa_2>  <oWant_fa_3>  <oWant_fa_4>  <extra_id_0>	11	0.2666666618666667	آن ها می خواهند به شخص ایکس تبریک بگویند	آن ها می خواهند به شخص ایکس تبریک بگویند	تا با شخص ایکس صحبت کند.	-1.84419
11	custom	enfat5-large-unsup-all	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-18:58-EVAL	gets thanked <br /> gets excited <br /> gets thanked by PersonY	0.74	0.0	PersonX accepts PersonY offer ## ## ## ## ## ##	en2en	gets thanked	oWant	PersonX accepts PersonY offer  <oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  <extra_id_0>	11	0.0	they want to congratulate PersonX	they want to congratulate PersonX	gets thanked by PersonY	-8.54248
11	custom	enfat5-large-unsup-wrap-all	en-en	unsup	wrapped-emb	freezed	tr:1-ep:1-(0-0)-360	2021-12-06-20:34-EVAL	to be helpful <br /> to accept the offer. <br /> to accept the offer	0.35	0.0372214575392242	## PersonX accepts PersonY offer ##	en2en	to be helpful	oWant	<oWant>  PersonX accepts PersonY offer <extra_id_0>	11	0.2499999953125001	they want to congratulate PersonX	they want to congratulate PersonX	to accept the offer.	-6.81636
110	custom	enfat5-large	en-en	unsup-wrap	wrapped-emb	freezed	tr:1-ep:1-(0-9000)-360	2021-12-06-17:25	to help PersonY <br /> to help persony <br /> to help person Y	0.37	0.0	PersonX answers PersonY question ## ## ## ## ## ##	en2en	to help PersonY	oWant	PersonX answers PersonY question  <oWant_0>  <oWant_1>  <oWant_2>  <oWant_3>  <oWant_4>  <extra_id_0>	110	0.0	ask a question also	ask a question also	to help person Y	-7.09024
